"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"State Street Bank And Trust Company","2111","2.89425299E8","1","14","State Street Bank And Trust Company"
"Auburnbank","36830","807062.0","1","35","Auburnbank"
"Robertson Banking Company","36732","264234.0","1","39","Robertson Banking Company"
"Phenix-Girard Bank","36867","175678.0","1","41","Phenix-Girard Bank"
"Merchants Bank Of Alabama","35055","259498.0","1","46","Merchants Bank Of Alabama"
"Traders & Farmers Bank","35565","363892.0","1","47","Traders & Farmers Bank"
"Bank Of Evergreen","36401","57037.0","1","49","Bank Of Evergreen"
"Community Spirit Bank","35582","138128.0","1","50","Community Spirit Bank"
"The Bank Of Vernon","35592","144196.0","1","51","The Bank Of Vernon"
"The Citizens Bank Of Winfield","35594","207269.0","1","52","The Citizens Bank Of Winfield"
"The Exchange Bank Of Alabama","35952","259358.0","1","54","The Exchange Bank Of Alabama"
"United Bank","36502","516965.0","1","58","United Bank"
"Peoples Exchange Bank Of Monroe County","36460","59358.0","1","70","Peoples Exchange Bank Of Monroe Coun"
"Central State Bank","35040","211500.0","1","72","Central State Bank"
"Banksouth","36303","170439.0","1","77","Banksouth"
"Warren Bank And Trust Company","71671","138388.0","1","81","Warren Bank And Trust Company"
"First Bank","71744","360005.0","1","88","First Bank"
"Signature Bank Of Arkansas","72703","491058.0","1","89","Signature Bank Of Arkansas"
"Commercial Bank & Trust Company","71655","186887.0","1","90","Commercial Bank & Trust Company"
"Allied Bank","72947","98602.0","1","91","Allied Bank"
"Riverside Bank","71763","58390.0","1","93","Riverside Bank"
"First State Bank Of Warren","71671","104933.0","1","94","First State Bank Of Warren"
"Bank Of Delight","71940","85757.0","1","99","Bank Of Delight"
"Bank Of Prescott","71857","80799.0","1","101","Bank Of Prescott"
"Bank Of Cave City","72521","97060.0","1","105","Bank Of Cave City"
"The Merchants & Planters Bank","72029","48337.0","1","107","The Merchants & Planters Bank"
"Horatio State Bank","71842","153446.0","1","109","Horatio State Bank"
"Bank Of The Ozarks","72223","8701082.0","1","110","Bank Of The Ozarks"
"Seacoast National Bank","34994","3233514.0","1","131","Seacoast National Bank"
"Century Bank And Trust","31061","224465.0","1","147","Century Bank And Trust"
"Bank Of Madison","30650","206101.0","1","148","Bank Of Madison"
"Bank Of Hazlehurst","31539","114721.0","1","149","Bank Of Hazlehurst"
"Bank Of Alapaha","31622","134903.0","1","155","Bank Of Alapaha"
"Exchange Bank","31061","227079.0","1","160","Exchange Bank"
"First National Bank Of Griffin","30224","240020.0","1","169","First National Bank Of Griffin"
"The Peoples Bank Of Talbotton","31827","49273.0","1","170","The Peoples Bank Of Talbotton"
"United Bank","30295","1122522.0","1","172","United Bank"
"The Commercial Bank","30630","124035.0","1","175","The Commercial Bank"
"Talbot State Bank","31836","70257.0","1","178","Talbot State Bank"
"The Merchants & Citizens Bank","31055","104647.0","1","183","The Merchants & Citizens Bank"
"The Heritage Bank","31313","542450.0","1","193","The Heritage Bank"
"The Citizens Exchange Bank","46928","59626.0","1","195","The Citizens Exchange Bank"
"Alliance Bank","47946","302955.0","1","197","Alliance Bank"
"Tri-County Bank & Trust Company","46172","191854.0","1","210","Tri-County Bank & Trust Company"
"Washington State Bank","52353","233092.0","1","214","Washington State Bank"
"Manson State Bank","50563","38734.0","1","223","Manson State Bank"
"Peoples Savings Bank","52621","35456.0","1","225","Peoples Savings Bank"
"Guthrie County State Bank","50216","113444.0","1","226","Guthrie County State Bank"
"American State Bank","51250","711127.0","1","228","American State Bank"
"Community State Bank","51301","148487.0","1","230","Community State Bank"
"Commercial Savings Bank","51401","155235.0","1","231","Commercial Savings Bank"
"Solon State Bank","52333","87905.0","1","232","Solon State Bank"
"Pocahontas State Bank","50574","99962.0","1","234","Pocahontas State Bank"
"Security State Bank","51058","113796.0","1","235","Security State Bank"
"Raccoon Valley Bank","50220","228495.0","1","245","Raccoon Valley Bank"
"State Savings Bank","50265","113594.0","1","248","State Savings Bank"
"Columbus Junction State Bank","52738","52319.0","1","249","Columbus Junction State Bank"
"Valley Bank & Trust","51034","72143.0","1","251","Valley Bank & Trust"
"Pinnacle Bank","50158","190460.0","1","252","Pinnacle Bank"
"Luana Savings Bank","52156","733456.0","1","253","Luana Savings Bank"
"First Whitney Bank And Trust","50022","211495.0","1","254","First Whitney Bank And Trust"
"Farmers And Merchants Savings Bank","52172","146523.0","1","255","Farmers And Merchants Savings Bank"
"Melvin Savings Bank","51350","62433.0","1","256","Melvin Savings Bank"
"Stock Yards Bank & Trust Company","40232","2479934.0","1","258","Stock Yards Bank & Trust Company"
"Citizens Bank","40456","143520.0","1","262","Citizens Bank"
"Farmers Deposit Bank","41031","133061.0","1","266","Farmers Deposit Bank"
"Kentucky Farmers Bank Corporation","41129","173397.0","1","267","Kentucky Farmers Bank Corporation"
"Morgantown Bank & Trust Company, Incorporated","42261","159964.0","1","275","Morgantown Bank & Trust Company, Incorporated"
"Hyden Citizens Bank","41749","126603.0","1","281","Hyden Citizens Bank"
"Auburn Banking Company","42206","72662.0","1","284","Auburn Banking Company"
"Community Financial Services Bank","42025","766817.0","1","287","Community Financial Services Bank"
"Farmers & Traders Bank Of Campton","41301","46581.0","1","288","Farmers & Traders Bank Of Campton"
"Bank Of Hindman","41822","178076.0","1","289","Bank Of Hindman"
"Jackson County Bank","40447","129968.0","1","291","Jackson County Bank"
"The Monticello Banking Company","42633","549018.0","1","292","The Monticello Banking Company"
"Bank Of Edmonson County","42210","198154.0","1","296","Bank Of Edmonson County"
"Lewisburg Banking Company","42256","107814.0","1","297","Lewisburg Banking Company"
"United Cumberland Bank","42653","280963.0","1","303","United Cumberland Bank"
"Clinton Bank","42031","60032.0","1","304","Clinton Bank"
"Bank Of Zachary","70791","209494.0","1","306","Bank Of Zachary"
"Landmark Bank","70722","107824.0","1","307","Landmark Bank"
"The Highlands Bank","70748","138189.0","1","310","The Highlands Bank"
"The Mer Rouge State Bank","71261","42645.0","1","314","The Mer Rouge State Bank"
"Holmes County Bank & Trust Company","39095","111475.0","1","321","Holmes County Bank & Trust Company"
"Citizens Bank","39429","394039.0","1","324","Citizens Bank"
"Merchants And Planters Bank","39154","95191.0","1","327","Merchants And Planters Bank"
"The Peoples Bank, Biloxi, Mississippi","39533","676693.0","1","340","The Peoples Bank, Biloxi, Mississippi"
"Western Bank Of Wolf Point","59201","91392.0","1","341","Western Bank Of Wolf Point"
"Farmers State Bank","59875","337234.0","1","342","Farmers State Bank"
"The Bank Of Baker","59313","158766.0","1","352","The Bank Of Baker"
"Stockmens Bank","59421","34819.0","1","358","Stockmens Bank"
"First Montana Bank, Inc.","59923","295996.0","1","363","First Montana Bank, Inc."
"Teton Banks","59436","210766.0","1","364","Teton Banks"
"The Ohio Valley Bank Company","45631","785548.0","1","384","The Ohio Valley Bank Company"
"The Peoples Bank","43022","55515.0","1","389","The Peoples Bank"
"The First State Bank","73565","28886.0","1","399","The First State Bank"
"Sooner State Bank","73089","184198.0","1","402","Sooner State Bank"
"The Farmers State Bank","74561","93125.0","1","404","The Farmers State Bank"
"Cleo State Bank","73729","99637.0","1","406","Cleo State Bank"
"The Stock Exchange Bank","73801","281203.0","1","414","The Stock Exchange Bank"
"High Plains Bank","73947","75345.0","1","418","High Plains Bank"
"The Citizens State Bank","74859","379183.0","1","419","The Citizens State Bank"
"Bank Of Vici","73859","43209.0","1","420","Bank Of Vici"
"Security State Bank","73628","196007.0","1","421","Security State Bank"
"Bank Of Commerce","74960","89905.0","1","422","Bank Of Commerce"
"American Exchange Bank","74437","60959.0","1","428","American Exchange Bank"
"The Morris State Bank","74445","74206.0","1","429","The Morris State Bank"
"Security First National Bank Of Hugo","74743","106472.0","1","432","Security First National Bank Of Hugo"
"Ps Bank","18853","298838.0","1","444","Ps Bank"
"Mercer County State Bank","16145","352370.0","1","445","Mercer County State Bank"
"First State Bank Of Claremont","57445","58544.0","1","484","First State Bank Of Claremont"
"Security State Bank","57066","129041.0","1","485","Security State Bank"
"Western Dakota Bank","57656","36422.0","1","492","Western Dakota Bank"
"Bankstar Financial","57026","129343.0","1","496","Bankstar Financial"
"Farmers And Merchants State Bank","57368","98228.0","1","501","Farmers And Merchants State Bank"
"Dakota Prairie Bank","57532","77727.0","1","504","Dakota Prairie Bank"
"Great Plains Bank","57437","93131.0","1","505","Great Plains Bank"
"Farmers State Bank","82082","21819.0","1","526","Farmers State Bank"
"Central Bank And Trust","82520","158830.0","1","529","Central Bank And Trust"
"Community Bank Of Bergen County, N. J.","7607","306353.0","1","571","Community Bank Of Bergen County, N. J."
"Manufacturers And Traders Trust Company","14203","9.6411208E7","1","588","Manufacturers And Traders Trust Comp"
"Chemung Canal Trust Company","14902","1552418.0","1","597","Chemung Canal Trust Company"
"Tompkins Trust Company","14850","1726803.0","1","609","Tompkins Trust Company"
"Bank Of Millbrook","12545","202409.0","1","618","Bank Of Millbrook"
"Amalgamated Bank","10001","3737155.0","1","622","Amalgamated Bank"
"Deutsche Bank Trust Company Americas","10005","5.4688E7","1","623","Deutsche Bank Trust Company Americas"
"Jpmorgan Chase Bank, National Association","43240","1.97138E9","1","628","Jpmorgan Chase Bank, National Association"
"The Bank Of New York Mellon","10286","3.20204E8","1","639","The Bank Of New York Mellon"
"Five Star Bank","14569","3337787.0","1","659","Five Star Bank"
"The Adirondack Trust Company","12866","1025595.0","1","660","The Adirondack Trust Company"
"First Columbia Bank & Trust Co.","17815","632489.0","1","686","First Columbia Bank & Trust Co."
"Wayne Bank","18431","750251.0","1","698","Wayne Bank"
"Orrstown Bank","17257","1232434.0","1","713","Orrstown Bank"
"Kentucky Bank","40361","851343.0","1","734","Kentucky Bank"
"The Apple Creek Banking Company","44606","136616.0","1","737","The Apple Creek Banking Company"
"First City Bank","43212","55288.0","1","741","First City Bank"
"Minster Bank","45865","401728.0","1","763","Minster Bank"
"The Farmers Bank And Savings Company","45769","264744.0","1","769","The Farmers Bank And Savings Company"
"Wesbanco Bank, Inc.","26003","8356308.0","1","803","Wesbanco Bank, Inc."
"Citizens Bank And Trust Company","23824","343865.0","1","823","Citizens Bank And Trust Company"
"Peoples Community Bank","22520","160926.0","1","829","Peoples Community Bank"
"The Bank Of Romney","26757","264931.0","1","845","The Bank Of Romney"
"The Pleasants County Bank","26170","68021.0","1","847","The Pleasants County Bank"
"Peoples Southern Bank","35045","164872.0","1","850","Peoples Southern Bank"
"Merchants & Farmers Bank Of Greene County, Alabama","35462","62906.0","1","855","Merchants & Farmers Bank Of Greene County, Alabama"
"State Bank & Trust","35594","222971.0","1","861","State Bank & Trust"
"Bank Of York","36925","103762.0","1","862","Bank Of York"
"Suntrust Bank","30308","1.84222885E8","1","867","Suntrust Bank"
"State Bank Of Cochran","31014","209537.0","1","872","State Bank Of Cochran"
"Synovus Bank","31901","2.7936041E7","1","873","Synovus Bank"
"Bank Of Dawson","39842","111745.0","1","876","Bank Of Dawson"
"Bank Of Eastman","31023","182450.0","1","877","Bank Of Eastman"
"The Brand Banking Company","30046","2073794.0","1","878","The Brand Banking Company"
"Farmers State Bank","30817","127981.0","1","879","Farmers State Bank"
"The Citizens State Bank Of Taylor County","31076","49103.0","1","884","The Citizens State Bank Of Taylor Co"
"The Bank Of Soperton","30457","39981.0","1","889","The Bank Of Soperton"
"Citizens Bank","37030","542591.0","1","893","Citizens Bank"
"The Bank Of Forest","39074","146181.0","1","898","The Bank Of Forest"
"The Gerber State Bank","62501","75788.0","1","899","The Gerber State Bank"
"Byron Bank","61010","227178.0","1","902","Byron Bank"
"Amalgamated Bank Of Chicago","60603","799022.0","1","903","Amalgamated Bank Of Chicago"
"The Northern Trust Company","60603","1.19600277E8","1","913","The Northern Trust Company"
"Community Banks Of Shelby County","62422","48563.0","1","920","Community Banks Of Shelby County"
"Farmers & Mechanics Bank","61401","286979.0","1","924","Farmers & Mechanics Bank"
"The State Bank Of Geneva","60134","85211.0","1","925","The State Bank Of Geneva"
"Peoples National Bank Of Kewanee","61443","251736.0","1","926","Peoples National Bank Of Kewanee"
"Citizens State Bank Of Milford","60953","48955.0","1","931","Citizens State Bank Of Milford"
"Sumner National Bank Of Sheldon","60966","23174.0","1","936","Sumner National Bank Of Sheldon"
"Tuscola National Bank","61953","79676.0","1","938","Tuscola National Bank"
"Citizens First State Bank Of Walnut","61376","53660.0","1","939","Citizens First State Bank Of Walnut"
"Iowa State Bank","50511","290623.0","1","950","Iowa State Bank"
"Cherokee State Bank","51012","200234.0","1","951","Cherokee State Bank"
"Bankers Trust Company","50309","3258757.0","1","953","Bankers Trust Company"
"First National Bank","50849","208291.0","1","954","First National Bank"
"Fort Madison Bank & Trust Co.","52627","151106.0","1","955","Fort Madison Bank & Trust Co."
"Glenwood State Bank","51534","173499.0","1","956","Glenwood State Bank"
"United Bank Of Iowa","51445","1288692.0","1","958","United Bank Of Iowa"
"First National Bank Of Muscatine","52761","306500.0","1","961","First National Bank Of Muscatine"
"The Home Trust & Savings Bank","50461","212788.0","1","963","The Home Trust & Savings Bank"
"Home State Bank","51357","47397.0","1","966","Home State Bank"
"Security Trust & Savings Bank","50588","191985.0","1","968","Security Trust & Savings Bank"
"Templeton Savings Bank","51463","116647.0","1","969","Templeton Savings Bank"
"Blissfield State Bank","49228","94619.0","1","976","Blissfield State Bank"
"Tri-County Bank","48416","244045.0","1","977","Tri-County Bank"
"Eastern Michigan Bank","48422","277800.0","1","982","Eastern Michigan Bank"
"Comerica Bank","75201","6.9926561E7","1","983","Comerica Bank"
"G. W. Jones Exchange Bank","49067","62347.0","1","999","G. W. Jones Exchange Bank"
"Mason State Bank","48854","120455.0","1","1001","Mason State Bank"
"Chemical Bank","48640","7708944.0","1","1003","Chemical Bank"
"Isabella Bank","48858","1533977.0","1","1005","Isabella Bank"
"Osb Community Bank","49230","72215.0","1","1008","Osb Community Bank"
"Choiceone Bank","49345","544884.0","1","1014","Choiceone Bank"
"Clare Bank, National Association","53818","282914.0","1","1022","Clare Bank, National Association"
"Farmers Bank And Trust Company","72315","424421.0","1","1027","Farmers Bank And Trust Company"
"Fbt Bank & Mortgage","71742","136743.0","1","1028","Fbt Bank & Mortgage"
"The Bank Of Edwardsville","62025","1738106.0","1","1039","The Bank Of Edwardsville"
"Midland States Bank","62401","2758591.0","1","1040","Midland States Bank"
"Bank & Trust Company","62056","271820.0","1","1047","Bank & Trust Company"
"First National Bank Of Steeleville","62288","195497.0","1","1049","First National Bank Of Steeleville"
"Citizens Bank","42347","30658.0","1","1051","Citizens Bank"
"Central Bank","65536","260338.0","1","1057","Central Bank"
"Midwest Bankcentre","63125","1619319.0","1","1058","Midwest Bankcentre"
"Wood & Huston Bank","65340","588790.0","1","1060","Wood & Huston Bank"
"Bremen Bank And Trust Company","63042","183971.0","1","1067","Bremen Bank And Trust Company"
"Cass Commercial Bank","63131","675777.0","1","1068","Cass Commercial Bank"
"Jefferson Bank And Trust Company","63025","565553.0","1","1071","Jefferson Bank And Trust Company"
"Lindell Bank & Trust Company","63139","456516.0","1","1073","Lindell Bank & Trust Company"
"The Bank Of Versailles","65084","231192.0","1","1086","The Bank Of Versailles"
"Upper Peninsula State Bank","49829","183151.0","1","1090","Upper Peninsula State Bank"
"The State Bank Of Ewen","49925","57715.0","1","1091","The State Bank Of Ewen"
"Baybank","49837","84273.0","1","1092","Baybank"
"Central Savings Bank","49783","238130.0","1","1095","Central Savings Bank"
"Root River State Bank","55923","68434.0","1","1098","Root River State Bank"
"Peoples State Bank Of Plainview","55964","196690.0","1","1100","Peoples State Bank Of Plainview"
"First Interstate Bank","59101","8358658.0","1","1105","First Interstate Bank"
"The State Bank Of Townsend","59644","57059.0","1","1114","The State Bank Of Townsend"
"State Bank Of Alcester","57001","118346.0","1","1116","State Bank Of Alcester"
"American Bank & Trust","57382","589781.0","1","1117","American Bank & Trust"
"Citizens State Bank, Of Arlington","57212","105270.0","1","1118","Citizens State Bank, Of Arlington"
"First Fidelity Bank","57523","358424.0","1","1122","First Fidelity Bank"
"Merchants State Bank","57029","151752.0","1","1125","Merchants State Bank"
"The Colorado Bank And Trust Company Of La Junta","81050","113728.0","1","1141","The Colorado Bank And Trust Company"
"The Morrill And Janes Bank And Trust Company","66204","860781.0","1","1143","The Morrill And Janes Bank And Trust"
"The Peoples Bank","67124","355373.0","1","1147","The Peoples Bank"
"Alterra Bank","66211","286418.0","1","1149","Alterra Bank"
"Fidelity State Bank And Trust Company","66603","108786.0","1","1150","Fidelity State Bank And Trust Compan"
"Wahoo State Bank","68066","68620.0","1","1163","Wahoo State Bank"
"The Citizens Bank","87401","752629.0","1","1164","The Citizens Bank"
"The First Bank Of Okarche","73762","80821.0","1","1165","The First Bank Of Okarche"
"Uinta Bank","82939","129323.0","1","1167","Uinta Bank"
"First State Bank Of Newcastle","82701","149184.0","1","1168","First State Bank Of Newcastle"
"Sundance State Bank","82729","174352.0","1","1169","Sundance State Bank"
"The Bank And Trust, S.S.b.","78840","430924.0","1","1184","The Bank And Trust, S.S.b."
"Arrowhead Bank","78643","159479.0","1","1198","Arrowhead Bank"
"Guaranty Bank & Trust, N.A.","75455","1487367.0","1","1208","Guaranty Bank & Trust, N.A."
"Commercial Bank Of Texas, National Association","75961","557131.0","1","1209","Commercial Bank Of Texas, National Association"
"Vista Bank","79357","290750.0","1","1210","Vista Bank"
"The Roscoe State Bank","79545","153785.0","1","1213","The Roscoe State Bank"
"First State Bank","79081","128874.0","1","1218","First State Bank"
"Wellington State Bank","79095","241067.0","1","1219","Wellington State Bank"
"Farmers And Merchants Bank Of Long Beach","90802","5663028.0","1","1225","Farmers And Merchants Bank Of Long B"
"Ireland Bank","83252","215972.0","1","1237","Ireland Bank"
"Gunnison Valley Bank","84634","79343.0","1","1250","Gunnison Valley Bank"
"Cashmere Valley Bank","98815","1320786.0","1","1265","Cashmere Valley Bank"
"Washington Trust Bank","99201","4838057.0","1","1281","Washington Trust Bank"
"Farmers Bank & Trust Company","71753","1218851.0","1","1291","Farmers Bank & Trust Company"
"Fnbc Bank","72513","367688.0","1","1294","Fnbc Bank"
"Farmers Bank","72936","197587.0","1","1296","Farmers Bank"
"Little River Bank","72354","34962.0","1","1298","Little River Bank"
"Evolve Bank & Trust","72301","376468.0","1","1299","Evolve Bank & Trust"
"Farmers & Merchants Bank Of Central California","95240","2459232.0","1","1331","Farmers & Merchants Bank Of Central"
"Citizens State Bank","66071","83558.0","1","1364","Citizens State Bank"
"Peoples Bank And Trust Company","67460","449290.0","1","1365","Peoples Bank And Trust Company"
"Bank Of Montgomery","71454","223245.0","1","1373","Bank Of Montgomery"
"The Bank Of Commerce","70788","59086.0","1","1374","The Bank Of Commerce"
"Citizens Bank & Trust Company","70764","237936.0","1","1376","Citizens Bank & Trust Company"
"Bank Of Ringgold","71068","57811.0","1","1377","Bank Of Ringgold"
"Feliciana Bank & Trust Company","70722","110658.0","1","1380","Feliciana Bank & Trust Company"
"State Bank Of Belle Plaine","56011","101748.0","1","1383","State Bank Of Belle Plaine"
"Red Rock Bank","56083","19785.0","1","1386","Red Rock Bank"
"Ormsby State Bank","56162","25729.0","1","1388","Ormsby State Bank"
"Lake Area Bank","55045","282613.0","1","1390","Lake Area Bank"
"Arlington State Bank","55307","58402.0","1","1391","Arlington State Bank"
"Frandsen Bank & Trust","55046","1531011.0","1","1399","Frandsen Bank & Trust"
"State Bank Of Danvers","56215","48176.0","1","1401","State Bank Of Danvers"
"Citizens Alliance Bank","56222","611080.0","1","1402","Citizens Alliance Bank"
"Kensington Bank","56343","147560.0","1","1409","Kensington Bank"
"Perennial Bank","55324","39024.0","1","1413","Perennial Bank"
"Kleinbank","55309","1861771.0","1","1414","Kleinbank"
"Northwoods Bank Of Minnesota","56470","109175.0","1","1415","Northwoods Bank Of Minnesota"
"Woodlands National Bank","55037","156060.0","1","1417","Woodlands National Bank"
"Bank Of Weston","64098","125188.0","1","1418","Bank Of Weston"
"Cabool State Bank","65689","60289.0","1","1419","Cabool State Bank"
"Cbc Bank","63334","33332.0","1","1421","Cbc Bank"
"Focus Bank","63834","711355.0","1","1426","Focus Bank"
"United Security Bank","65251","54497.0","1","1427","United Security Bank"
"Town & Country Bank","68869","166856.0","1","1434","Town & Country Bank"
"Exchange Bank","68840","725093.0","1","1435","Exchange Bank"
"Ashton State Bank","68817","23200.0","1","1436","Ashton State Bank"
"Countryside Bank","68454","74824.0","1","1438","Countryside Bank"
"American Interstate Bank","68022","102814.0","1","1439","American Interstate Bank"
"Bank Of Holland","14080","94072.0","1","1464","Bank Of Holland"
"Bank Of Crockett","38006","139947.0","1","1468","Bank Of Crockett"
"Peoples Bank & Trust Company","37355","84326.0","1","1475","Peoples Bank & Trust Company"
"The Farmers & Merchants Bank","38330","96742.0","1","1480","The Farmers & Merchants Bank"
"Bank Of Frankewing","38459","213853.0","1","1484","Bank Of Frankewing"
"First Farmers And Merchants Bank","38402","1208761.0","1","1487","First Farmers And Merchants Bank"
"Dilley State Bank","78017","132229.0","1","1490","Dilley State Bank"
"Security State Bank","78061","504469.0","1","1497","Security State Bank"
"Citizens State Bank Of La Crosse","54601","175817.0","1","1513","Citizens State Bank Of La Crosse"
"Markesan State Bank","53946","161117.0","1","1517","Markesan State Bank"
"First Security Bank","59715","715378.0","1","1520","First Security Bank"
"De Witt Bank And Trust Company","72042","125955.0","1","1522","De Witt Bank And Trust Company"
"Bank Of Mccrory","72101","85398.0","1","1523","Bank Of Mccrory"
"Diamond Bank","71958","466508.0","1","1527","Diamond Bank"
"Southern Bancorp Bank","71923","1152642.0","1","1528","Southern Bancorp Bank"
"Bank Of Stockton","95202","2412663.0","1","1536","Bank Of Stockton"
"First National Bank, Ames, Iowa","50010","713828.0","1","1545","First National Bank, Ames, Iowa"
"Iowa Trust And Savings Bank","52544","179043.0","1","1547","Iowa Trust And Savings Bank"
"Central State Bank","52043","211649.0","1","1550","Central State Bank"
"Cbi Bank & Trust","52761","507370.0","1","1552","Cbi Bank & Trust"
"The Shelby County State Bank","51537","247955.0","1","1553","The Shelby County State Bank"
"State Bank Of Bussey","50044","45618.0","1","1556","State Bank Of Bussey"
"Peoples Bank","40033","53437.0","1","1562","Peoples Bank"
"The Peoples Bank","40071","109757.0","1","1566","The Peoples Bank"
"Comerica Bank & Trust, National Association","48104","52864.0","1","1596","Comerica Bank & Trust, National Association"
"Farmers And Merchants State Bank Of Blooming Prairie","55917","76266.0","1","1599","Farmers And Merchants State Bank Of"
"First Farmers & Merchants State Bank","55918","87202.0","1","1600","First Farmers & Merchants State Bank"
"Security Bank Usa","56601","127736.0","1","1604","Security Bank Usa"
"The Bank Of Elk River","55330","354012.0","1","1607","The Bank Of Elk River"
"First State Bank Of Wyoming","55092","164748.0","1","1609","First State Bank Of Wyoming"
"The State Bank Of Faribault","55021","175590.0","1","1610","The State Bank Of Faribault"
"Carroll County Trust Company Of Carrollton, Missouri","64633","149565.0","1","1611","Carroll County Trust Company Of Carrollton, Missouri"
"Sherwood Community Bank","64739","45024.0","1","1612","Sherwood Community Bank"
"Exchange Bank Of Missouri","65248","164846.0","1","1616","Exchange Bank Of Missouri"
"The Bank Of Missouri","63775","1124616.0","1","1617","The Bank Of Missouri"
"Farmers State Bank Stanberry","64489","60850.0","1","1619","Farmers State Bank Stanberry"
"First Security Bank","64494","27342.0","1","1622","First Security Bank"
"Mid America Bank & Trust Company","65459","146188.0","1","1624","Mid America Bank & Trust Company"
"Summit Bank Of Kansas City","64086","40182.0","1","1627","Summit Bank Of Kansas City"
"Bank Of Kirksville","63501","478207.0","1","1635","Bank Of Kirksville"
"First Community National Bank","65453","220145.0","1","1639","First Community National Bank"
"Providence Bank","65203","733505.0","1","1643","Providence Bank"
"Ozark Bank","65721","202209.0","1","1654","Ozark Bank"
"The Bank Of Old Monroe","63369","311003.0","1","1655","The Bank Of Old Monroe"
"Farmers And Merchants Bank Of South Carolina","29059","275862.0","1","1660","Farmers And Merchants Bank Of South"
"1st Financial Bank Usa","57049","717172.0","1","1673","1st Financial Bank Usa"
"Richland State Bank","57220","44702.0","1","1675","Richland State Bank"
"Plains Commerce Bank","57450","594264.0","1","1678","Plains Commerce Bank"
"Dakota State Bank","57522","35572.0","1","1682","Dakota State Bank"
"Farmers State Bank","57366","141656.0","1","1686","Farmers State Bank"
"Community Bank","57315","54667.0","1","1687","Community Bank"
"Ubank","37762","66244.0","1","1693","Ubank"
"Citizens Bank","37825","155730.0","1","1695","Citizens Bank"
"The Farmers Bank","37148","556924.0","1","1696","The Farmers Bank"
"First Century Bank","37879","262581.0","1","1700","First Century Bank"
"Peoples State Bank Of Commerce","37135","149930.0","1","1701","Peoples State Bank Of Commerce"
"Mountain Valley Bank","37327","93490.0","1","1705","Mountain Valley Bank"
"Citizens Bank Of Lafayette","37083","827200.0","1","1711","Citizens Bank Of Lafayette"
"Bank Of Perry County","37097","149450.0","1","1713","Bank Of Perry County"
"Citizens 1st Bank","75701","709923.0","1","1715","Citizens 1st Bank"
"Western Bank","79424","183189.0","1","1720","Western Bank"
"Peoples Bank Of Greensboro","36744","91030.0","1","1730","Peoples Bank Of Greensboro"
"Farmers And Merchants Bank","36272","191716.0","1","1735","Farmers And Merchants Bank"
"First Bank","36276","69971.0","1","1744","First Bank"
"The Farmers & Merchants Bank","35677","75477.0","1","1745","The Farmers & Merchants Bank"
"Escambia County Bank","36441","81127.0","1","1746","Escambia County Bank"
"Union Bank & Trust Company","71655","192235.0","1","1753","Union Bank & Trust Company"
"Central Bank","72211","103294.0","1","1756","Central Bank"
"First National Bank Of Crossett","71635","137293.0","1","1757","First National Bank Of Crossett"
"Mechanics Bank","94806","3481881.0","1","1768","Mechanics Bank"
"The State Bank","81050","100411.0","1","1778","The State Bank"
"The Citizens State Bank Of Ouray","81427","90569.0","1","1779","The Citizens State Bank Of Ouray"
"Farmers State Bank Of Calhan","80808","224704.0","1","1780","Farmers State Bank Of Calhan"
"First State Bank Shannon-Polo","61078","156565.0","1","1781","First State Bank Shannon-Polo"
"Longview Bank","61859","172445.0","1","1786","Longview Bank"
"Rochester State Bank","62563","88347.0","1","1787","Rochester State Bank"
"State Bank Of Arthur","61911","122418.0","1","1800","State Bank Of Arthur"
"Fayette County Bank","62458","43716.0","1","1802","Fayette County Bank"
"Better Banks","61615","260479.0","1","1808","Better Banks"
"Fowler State Bank","47944","144297.0","1","1821","Fowler State Bank"
"The Fairmount State Bank","46928","41778.0","1","1829","The Fairmount State Bank"
"State Bank Of Lizton","46149","366592.0","1","1833","State Bank Of Lizton"
"Ossian State Bank","46777","97588.0","1","1837","Ossian State Bank"
"Community State Bank","46978","115787.0","1","1839","Community State Bank"
"The Farmers And Merchants Bank","47921","122010.0","1","1843","The Farmers And Merchants Bank"
"The Bippus State Bank","46750","131486.0","1","1847","The Bippus State Bank"
"Wayne Bank And Trust Co.","47327","132942.0","1","1849","Wayne Bank And Trust Co."
"First Security Bank And Trust Company","50616","447038.0","1","1852","First Security Bank And Trust Compan"
"Keokuk Savings Bank And Trust Company","52632","116682.0","1","1853","Keokuk Savings Bank And Trust Compan"
"Waukon State Bank","52172","256590.0","1","1857","Waukon State Bank"
"Montezuma State Bank","50171","36076.0","1","1860","Montezuma State Bank"
"Wayland State Bank","52641","84908.0","1","1862","Wayland State Bank"
"The Kansas State Bank Overbrook Kansas","66524","53659.0","1","1865","The Kansas State Bank Overbrook Kans"
"The Farmers State Bank Of Oakley, Kansas","67748","123268.0","1","1867","The Farmers State Bank Of Oakley, Kansas"
"The Bank Of Tescott","67484","330280.0","1","1868","The Bank Of Tescott"
"The Union State Bank","67005","256703.0","1","1869","The Union State Bank"
"Bank Of Labor","66101","537272.0","1","1874","Bank Of Labor"
"The Peoples Bank Of Bullitt County","40165","237777.0","1","1884","The Peoples Bank Of Bullitt County"
