"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"Plaza Bank","98101","72419.0","1","58305","Plaza Bank"
"The First Bank Of Greenwich","6807","206374.0","1","58307","The First Bank Of Greenwich"
"American Momentum Bank","77845","1100045.0","1","58309","American Momentum Bank"
"Us Metro Bank","92844","127238.0","1","58310","Us Metro Bank"
"Community Bank Delaware","19958","161622.0","1","58311","Community Bank Delaware"
"Old Plank Trail Community Bank, National Association","60451","1192950.0","1","58314","Old Plank Trail Community Bank, National Association"
"Investar Bank","70808","920867.0","1","58316","Investar Bank"
"Resolute Bank","43537","39402.0","1","58317","Resolute Bank"
"Texas Citizens Bank, National Association","77505","361755.0","1","58319","Texas Citizens Bank, National Association"
"Riverbank","99202","123384.0","1","58322","Riverbank"
"Lone Star Bank","77063","100653.0","1","58324","Lone Star Bank"
"Presidio Bank","94111","594308.0","1","58325","Presidio Bank"
"Seaside National Bank & Trust","32801","1207102.0","1","58328","Seaside National Bank & Trust"
"New Resource Bank","94111","261980.0","1","58329","New Resource Bank"
"Mountain Pacific Bank","98201","165377.0","1","58341","Mountain Pacific Bank"
"First Avenue National Bank","34471","117684.0","1","58344","First Avenue National Bank"
"Marquis Bank","33134","305071.0","1","58345","Marquis Bank"
"Westside Bank","30141","115817.0","1","58347","Westside Bank"
"Millennium Bank","60016","81919.0","1","58348","Millennium Bank"
"Proamerica Bank","90017","189108.0","1","58349","Proamerica Bank"
"Southern Independent Bank","36467","206294.0","1","58357","Southern Independent Bank"
"United Republic Bank","68118","142818.0","1","58359","United Republic Bank"
"Americas United Bank","91203","169328.0","1","58360","Americas United Bank"
"Reliant Bank","37027","800737.0","1","58366","Reliant Bank"
"First Florida Bank","32541","314714.0","1","58370","First Florida Bank"
"Hyperion Bank","19123","75698.0","1","58371","Hyperion Bank"
"Sabal Palm Bank","34232","124806.0","1","58372","Sabal Palm Bank"
"The Piedmont Bank","30092","433222.0","1","58374","The Piedmont Bank"
"Vantage Bank Of Alabama","35950","111656.0","1","58375","Vantage Bank Of Alabama"
"Encore Bank, National Association","33980","346689.0","1","58376","Encore Bank, National Association"
"Central Bank","33647","103919.0","1","58377","Central Bank"
"Icon Bank Of Texas, National Association","77064","668638.0","1","58378","Icon Bank Of Texas, National Association"
"Private Bank Of Buckhead","30305","263991.0","1","58380","Private Bank Of Buckhead"
"Keystone Bank","36830","255551.0","1","58382","Keystone Bank"
"Insignia Bank","34236","206808.0","1","58387","Insignia Bank"
"Grandpoint Bank","90071","3052967.0","1","58390","Grandpoint Bank"
