Content Fulfillment Status,Content Date Fulfilled,Content Topic,Content Link,Account Manager,Opportunity Name,Account Name,Billing State/Province,type,Account Charter Number,certNumber
Posted,1/12/15,,https://choiceone.org/5-ways-to-start-the-new-year-financially-fit/,Hallie Pond,CHOICE ONE COMMUNITY Federal Credit Union-None-New Business,CHOICE ONE COMMUNITY Federal Credit Union,PA,cu,4240-cu,4240
Posted,7/27/15,saving on last minute travel,http://www.cincinnatifederal.com/Money-Saving-Tips.aspx,Hallie Pond,Cincinnati Federal Savings and Loan Association-Mixed-New Business,Cincinnati Federal Savings and Loan Association,OH,bk,28346-bk,28346
Posted,10/7/15,Goals for Saving: Why You Need Certificates,https://www.citadelbanking.com/goals-saving-role-certificates/,Hallie Pond,CITADEL-Content-New Business,CITADEL,PA,cu,2099-cu,2099
Posted,1/15/15,,https://www.memberadviser.com/clarkcountycu/e_article003113310.cfm?x=b11,0,w,Hallie Pond,Clark County Credit Union-None-Existing Business,Clark County Credit Union,Nevada,cu,86752-cu,86752
Posted,4/2/15,,https://www.memberadviser.com/clarkcountycu/e_article003151634.cfm?x=b11,0,w,Hallie Pond,Clark County Credit Union-None-New Business,Clark County Credit Union,Nevada,cu,86752-cu,86752
Posted,4/2/15,Retirement,https://www.memberadviser.com/clarkcountycu/e_article003151634.cfm?x=b11,0,w,Hallie Pond,Clark County Credit Union-Content-Existing Business,Clark County Credit Union,Nevada,cu,86752-cu,86752
Posted,10/22/15,*Home Equity Loans,https://www.communityfirstbank.com/blog,Hallie Pond,Community First Bank-Content-New Business,Community First Bank,AR,bk,34611-bk,34611
Posted,8/17/15,Why we overspend on vacation,http://ig.libertyonline.net/ImageGallery/Custom/cu0192/PDFs/08172015_NerdWalletVacation.pdf,Hallie Pond,COMMUNITY FIRST GUAM Federal Credit Union-Content-New Business,COMMUNITY FIRST GUAM Federal Credit Union,GU,cu,15051-cu,15051
Posted,4/2/15,Student Loans,http://moneybasics411.blogspot.com/,Hallie Pond,COMMUNITY RESOURCE Federal Credit Union-Content-Existing Business,COMMUNITY RESOURCE Federal Credit Union,NY,cu,770-cu,770
Posted,4/2/15,,http://moneybasics411.blogspot.com/,Hallie Pond,COMMUNITY RESOURCE Federal Credit Union-None-New Business,COMMUNITY RESOURCE Federal Credit Union,NY,cu,770-cu,770
Posted,3/23/15,,http://www.conchoeducators.org/AboutUs/Newsletters/2015/2015%20-%201st%20Quarter.pdf,Hallie Pond,CONCHO EDUCATORS Federal Credit Union-None-New Business,CONCHO EDUCATORS Federal Credit Union,TX,cu,4684-cu,4684
Posted,3/23/15,Credit Cards,http://www.conchoeducators.org/AboutUs/Newsletters/2015/2015%20-%201st%20Quarter.pdf,Hallie Pond,CONCHO EDUCATORS Federal Credit Union-Content-Existing Business,CONCHO EDUCATORS Federal Credit Union,TX,cu,4684-cu,4684
